frame,battery,height,status,timestamp
296,80,50,Flying,20:34:46
297,80,50,Flying,20:34:47
298,80,50,Flying,20:34:47
299,80,50,Flying,20:34:47
300,80,50,Flying,20:34:47
301,80,50,Flying,20:34:47
302,80,50,Flying,20:34:47
303,80,50,Flying,20:34:47
304,80,50,Flying,20:34:47
305,80,50,Flying,20:34:47
306,80,50,Flying,20:34:47
307,80,50,Flying,20:34:47
308,80,50,Flying,20:34:47
309,80,50,Flying,20:34:47
310,80,50,Flying,20:34:47
311,80,50,Flying,20:34:47
312,80,50,Flying,20:34:47
313,80,50,Flying,20:34:47
314,80,50,Flying,20:34:47
315,80,50,Flying,20:34:47
316,80,50,Flying,20:34:47
317,80,50,Flying,20:34:48
318,80,50,Flying,20:34:48
319,80,50,Flying,20:34:48
320,80,50,Flying,20:34:48
321,80,50,Flying,20:34:48
322,80,50,Flying,20:34:48
323,80,50,Flying,20:34:48
324,80,50,Flying,20:34:48
325,80,50,Flying,20:34:48
326,80,50,Flying,20:34:48
327,79,50,Flying,20:34:48
328,79,50,Flying,20:34:48
329,79,50,Flying,20:34:48
330,79,50,Flying,20:34:48
331,79,50,Flying,20:34:48
332,79,50,Flying,20:34:48
333,79,50,Flying,20:34:48
334,79,50,Flying,20:34:48
335,79,50,Flying,20:34:48
336,79,50,Flying,20:34:49
337,79,50,Flying,20:34:49
338,79,50,Flying,20:34:49
339,79,50,Flying,20:34:49
340,79,50,Flying,20:34:49
341,79,50,Flying,20:34:49
342,79,50,Flying,20:34:49
343,79,50,Flying,20:34:49
344,79,50,Flying,20:34:49
345,79,50,Flying,20:34:49
346,79,50,Flying,20:34:49
347,79,50,Flying,20:34:49
348,79,50,Flying,20:34:49
349,79,50,Flying,20:34:49
350,79,50,Flying,20:34:49
351,79,50,Flying,20:34:49
352,79,50,Flying,20:34:49
353,79,50,Flying,20:34:49
354,79,50,Flying,20:34:49
355,79,50,Flying,20:34:50
356,79,50,Flying,20:34:50
357,79,50,Flying,20:34:50
358,78,50,Flying,20:34:50
359,78,50,Flying,20:34:50
360,78,50,Flying,20:34:50
361,78,50,Flying,20:34:50
362,78,50,Flying,20:34:50
363,78,50,Flying,20:34:50
364,78,50,Flying,20:34:50
365,78,50,Flying,20:34:50
366,78,50,Flying,20:34:50
367,78,50,Flying,20:34:50
368,78,50,Flying,20:34:50
369,78,50,Flying,20:34:50
370,78,50,Flying,20:34:50
371,78,50,Flying,20:34:50
372,78,50,Flying,20:34:50
373,78,50,Flying,20:34:50
374,78,50,Flying,20:34:50
375,78,50,Flying,20:34:51
376,78,50,Flying,20:34:51
377,78,50,Flying,20:34:51
378,78,50,Flying,20:34:51
379,78,50,Flying,20:34:51
380,78,50,Flying,20:34:51
381,78,50,Flying,20:34:51
382,78,50,Flying,20:34:51
383,78,50,Flying,20:34:51
384,78,50,Flying,20:34:51
385,78,50,Flying,20:34:51
386,78,50,Flying,20:34:51
387,77,60,Flying,20:34:51
388,77,60,Flying,20:34:51
389,77,60,Flying,20:34:51
390,77,60,Flying,20:34:51
391,77,60,Flying,20:34:51
392,77,60,Flying,20:34:51
393,77,60,Flying,20:34:51
394,77,60,Flying,20:34:51
395,77,60,Flying,20:34:52
396,77,60,Flying,20:34:52
397,77,60,Flying,20:34:52
398,77,60,Flying,20:34:52
399,77,60,Flying,20:34:52
400,77,60,Flying,20:34:52
401,77,60,Flying,20:34:52
402,77,60,Flying,20:34:52
403,77,60,Flying,20:34:52
404,77,60,Flying,20:34:52
405,77,60,Flying,20:34:52
406,77,60,Flying,20:34:52
407,77,60,Flying,20:34:52
408,77,60,Flying,20:34:52
409,77,60,Flying,20:34:52
410,77,60,Flying,20:34:52
411,77,60,Flying,20:34:52
412,77,60,Flying,20:34:52
413,77,60,Flying,20:34:53
414,77,60,Flying,20:34:53
415,77,60,Flying,20:34:53
416,77,60,Flying,20:34:53
417,77,60,Flying,20:34:53
418,77,90,Flying,20:34:53
419,77,90,Flying,20:34:53
420,77,90,Flying,20:34:53
421,77,90,Flying,20:34:53
422,77,90,Flying,20:34:53
423,77,90,Flying,20:34:53
424,77,90,Flying,20:34:53
425,77,90,Flying,20:34:53
426,77,90,Flying,20:34:53
427,77,90,Flying,20:34:53
428,77,90,Flying,20:34:53
429,77,90,Flying,20:34:53
430,77,90,Flying,20:34:53
431,77,90,Flying,20:34:53
432,77,90,Flying,20:34:53
433,77,90,Flying,20:34:54
434,77,90,Flying,20:34:54
435,77,90,Flying,20:34:54
436,77,90,Flying,20:34:54
437,77,90,Flying,20:34:54
438,77,90,Flying,20:34:54
439,77,90,Flying,20:34:54
440,77,90,Flying,20:34:54
441,77,90,Flying,20:34:54
442,77,90,Flying,20:34:54
443,77,90,Flying,20:34:54
444,77,90,Flying,20:34:54
445,77,90,Flying,20:34:54
446,77,90,Flying,20:34:54
447,77,90,Flying,20:34:54
448,76,70,Flying,20:34:54
449,76,70,Flying,20:34:54
450,76,70,Flying,20:34:54
451,76,70,Flying,20:34:54
452,76,70,Flying,20:34:54
453,76,70,Flying,20:34:55
454,76,70,Flying,20:34:55
